date_key,year,month,day,day_of_week,week_of_year
2025-08-30,2025,8,30,6,35
2025-08-31,2025,8,31,7,35
2025-09-01,2025,9,1,1,36
2025-09-02,2025,9,2,2,36
2025-09-03,2025,9,3,3,36
2025-09-04,2025,9,4,4,36
2025-09-05,2025,9,5,5,36
2025-09-06,2025,9,6,6,36
2025-09-07,2025,9,7,7,36
2025-09-08,2025,9,8,1,37
2025-09-09,2025,9,9,2,37
2025-09-10,2025,9,10,3,37
2025-09-11,2025,9,11,4,37
2025-09-12,2025,9,12,5,37
2025-09-13,2025,9,13,6,37
2025-09-14,2025,9,14,7,37
2025-09-15,2025,9,15,1,38
2025-09-16,2025,9,16,2,38
2025-09-17,2025,9,17,3,38
2025-09-18,2025,9,18,4,38
2025-09-19,2025,9,19,5,38
2025-09-20,2025,9,20,6,38
2025-09-21,2025,9,21,7,38
2025-09-22,2025,9,22,1,39
2025-09-23,2025,9,23,2,39
2025-09-24,2025,9,24,3,39
2025-09-25,2025,9,25,4,39
2025-09-26,2025,9,26,5,39
2025-09-27,2025,9,27,6,39
2025-09-28,2025,9,28,7,39
2025-09-29,2025,9,29,1,40
2025-09-30,2025,9,30,2,40
2025-10-01,2025,10,1,3,40
2025-10-02,2025,10,2,4,40
2025-10-03,2025,10,3,5,40
2025-10-04,2025,10,4,6,40
2025-10-05,2025,10,5,7,40
2025-10-06,2025,10,6,1,41
2025-10-07,2025,10,7,2,41
2025-10-08,2025,10,8,3,41
2025-10-09,2025,10,9,4,41
2025-10-10,2025,10,10,5,41
2025-10-11,2025,10,11,6,41
2025-10-12,2025,10,12,7,41
2025-10-13,2025,10,13,1,42
2025-10-14,2025,10,14,2,42
2025-10-15,2025,10,15,3,42
2025-10-16,2025,10,16,4,42
2025-10-17,2025,10,17,5,42
2025-10-18,2025,10,18,6,42
2025-10-19,2025,10,19,7,42
2025-10-20,2025,10,20,1,43
2025-10-21,2025,10,21,2,43
2025-10-22,2025,10,22,3,43
2025-10-23,2025,10,23,4,43
2025-10-24,2025,10,24,5,43
2025-10-25,2025,10,25,6,43
2025-10-26,2025,10,26,7,43
2025-10-27,2025,10,27,1,44
2025-10-28,2025,10,28,2,44
2025-10-29,2025,10,29,3,44
2025-10-30,2025,10,30,4,44
2025-10-31,2025,10,31,5,44
2025-11-01,2025,11,1,6,44
